solver,num_vars,num_clauses,cnf_file,satisfaction_ratio,time (seconds),memory_usage (MB),peak_memory_usage (MB)
CP-SAT-MAXSAT,1134,26703,vlsat2_1134_26703_4.cnf,0.9993633674119012,1.0205124834028538,270.61875,593.35625
Gurobi-MAXSAT,1134,26703,vlsat2_1134_26703_4.cnf,0.9997753061453768,1.0069777331955263,237.24375,471.090625
MaxSatdNN,1134,26703,vlsat2_1134_26703_4.cnf,0.9979777553083924,0.2214638584177009,90.075,344.315625
CP-SAT-MAXSAT,1155,42917,vlsat2_1155_42917_4.cnf,0.9172355942866464,1.0783655251958408,249.88125,502.48125
MaxSatdNN,1155,42917,vlsat2_1155_42917_4.cnf,0.998205839177948,0.2496534580015577,98.028125,353.815625
Gurobi-MAXSAT,1155,42917,vlsat2_1155_42917_4.cnf,0.9991145699839225,1.0112442833953537,391.921875,635.290625
CP-SAT-MAXSAT,4424,545056,vlsat2_4424_545056.cnf,0.660209593142723,1.6576511000050231,1125.65,1735.24375
Gurobi-MAXSAT,4424,545056,vlsat2_4424_545056.cnf,0.999420243057594,1.174842941586394,683.61875,1128.80625
MaxSatdNN,4424,545056,vlsat2_4424_545056.cnf,0.9996238918569836,1.0201311669894495,404.328125,752.290625
CP-SAT-MAXSAT,5152,824642,vlsat2_5152_824642.cnf,0.8222528078851187,1.190304708806798,1523.703125,1947.225
Gurobi-MAXSAT,5152,824642,vlsat2_5152_824642.cnf,0.9996095275283092,1.1637420081882737,990.184375,1387.3625
MaxSatdNN,5152,824642,vlsat2_5152_824642.cnf,0.9996095275283092,1.026017592009157,573.415625,970.79375
MaxSatdNN,5600,1042700,vlsat2_5600_1042700.cnf,0.999616380550494,1.1093593167955986,705.665625,1142.825
CP-SAT-MAXSAT,5600,1042700,vlsat2_5600_1042700.cnf,0.8044883475592213,1.5739958501886575,1944.33125,2385.746875
Gurobi-MAXSAT,5600,1042700,vlsat2_5600_1042700.cnf,0.999616380550494,1.236661133391317,1258.034375,1720.715625
CP-SAT-MAXSAT,11130,1186888,vlsat2_11130_1186888.cnf,0.7510214948672495,1.8487291918019764,1912.775,2668.26875
Gurobi-MAXSAT,11130,1186888,vlsat2_11130_1186888.cnf,0.9997320724449148,1.2630101165967065,1403.5625,1899.928125
MaxSatdNN,11130,1186888,vlsat2_11130_1186888.cnf,0.9955586373777476,1.2077593166031877,786.390625,1254.234375
CP-SAT-MAXSAT,11280,4223777,vlsat2_11280_4223777.cnf,0.7026106728645949,7.822611425002106,5280.44375,6751.003125
Gurobi-MAXSAT,11280,4223777,vlsat2_11280_4223777.cnf,0.9998219602976198,2.2938892999954987,3441.609375,4719.346875
MaxSatdNN,11280,4223777,vlsat2_11280_4223777.cnf,0.9998219602976198,1.0291143166017718,2557.365625,3683.109375
CP-SAT-MAXSAT,11374,1150943,vlsat2_11374_1150943.cnf,0.7058014167513074,1.8164633668086023,1883.9125,2625.821875
Gurobi-MAXSAT,11374,1150943,vlsat2_11374_1150943.cnf,0.9997897376325326,1.2577418081928045,1341.3,1862.0125
MaxSatdNN,11374,1150943,vlsat2_11374_1150943.cnf,0.9993660850276688,1.191644058190286,769.478125,1232.871875
MaxSatdNN,14280,6781327,vlsat2_14280_6781327.cnf,0.9998596144972806,1.6670874501927757,3810.825,5684.14375
CP-SAT-MAXSAT,14280,6781327,vlsat2_14280_6781327.cnf,0.678497379642657,18.296284800197466,3823.325,6822.26875
Gurobi-MAXSAT,14280,6781327,vlsat2_14280_6781327.cnf,0.9998596144972806,2.6563970084069295,3929.1875,6203.471875
CP-SAT-MAXSAT,14424,7585190,vlsat2_14424_7585190.cnf,0.6969657187229324,22.029633183195255,4587.996875,7103.375
Gurobi-MAXSAT,14424,7585190,vlsat2_14424_7585190.cnf,0.9998415333037142,3.212210549786687,5115.91875,7383.05625
MaxSatdNN,14424,7585190,vlsat2_14424_7585190.cnf,0.9969495029129132,2.0078188331914135,3788.40625,5977.453125
CP-SAT-MAXSAT,15440,1409906,vlsat2_15440_1409906.cnf,0.7747600194622903,2.243389283400029,2260.86875,3092.91875
Gurobi-MAXSAT,15440,1409906,vlsat2_15440_1409906.cnf,0.999726222882944,1.2909933079965412,1650.88125,2189.053125
