solver,time (seconds),memory_usage (MB),peak_memory_usage (MB),status,num_vars,num_clauses,satisfied_clauses,satisfaction_ratio,solved,time_budget,threads_used,cnf_file,satisfied_clauses_mean,satisfied_clauses_stdev,time (seconds)__median,time (seconds)__stdev,memory_usage (MB)__median,memory_usage (MB)__stdev,peak_memory_usage (MB)__median,peak_memory_usage (MB)__stdev,satisfaction_ratio__median,satisfaction_ratio__stdev,repetitions
CP-SAT-MAXSAT,1.0172632080037147,246.3125,561.065625,FEASIBLE,1000,22250,22213,0.9983370786516854,False,1.0,4,vlsat2_1000_22250_4.cnf,22213.0,0.0,1.0168985000054818,0.0014143663246761,244.109375,5.201024820137614,559.34375,4.993555417047557,0.9983370786516854,0.0,5
Gurobi-MAXSAT,0.8929557581956032,197.221875,450.071875,OPTIMAL,1000,22250,22250,1.0,True,1.0,4,vlsat2_1000_22250_4.cnf,22250.0,0.0,0.8925720000115689,0.0020419893974753,193.640625,9.494154245837278,446.578125,9.345713370226882,1.0,0.0,5
CP-SAT-MAXSAT,1.0125104581937194,227.434375,513.340625,FEASIBLE,1022,14955,14953,0.9998796389167502,False,1.0,4,vlsat2_1022_14955_3.cnf,14953.2,0.4472135954999579,1.0112548749893904,0.0032426878786141,226.078125,5.376980013213737,512.609375,4.5346350502617625,0.9998662654630558,2.9903951554695385e-05,5
Gurobi-MAXSAT,1.006475908192806,191.30625,444.059375,FEASIBLE,1022,14955,14953,0.9998662654630558,False,1.0,4,vlsat2_1022_14955_3.cnf,14953.0,0.0,1.0062926659884397,0.0010979386456671,191.1875,9.415132848903408,443.78125,9.281476217781846,0.9998662654630558,0.0,5
CP-SAT-MAXSAT,1.8487291918019764,1912.775,2668.26875,UNKNOWN,11130,1186888,831125,0.7510214948672495,False,1.0,4,vlsat2_11130_1186888.cnf,891378.4,165967.5653231679,1.8310863329970744,0.0380047015820681,1932.984375,45.8940956722989,2686.921875,42.12335314149163,0.7002556264786568,0.1398342264166188,5
Gurobi-MAXSAT,1.2630101165967065,1403.5625,1899.928125,FEASIBLE,11130,1186888,1186570,0.9997320724449148,False,1.0,4,vlsat2_11130_1186888.cnf,1186570.0,0.0,1.2540347499889322,0.0183698994802277,1404.78125,4.051472412708434,1902.546875,4.933574883673349,0.9997320724449148,0.0,5
CP-SAT-MAXSAT,1.0124290500010829,215.615625,507.559375,FEASIBLE,1125,15795,15794,0.9999366888255776,False,1.0,4,vlsat2_1125_15795_3.cnf,15794.0,0.0,1.0123992919980085,0.0003754811593547,215.65625,3.9600760281132863,508.875,3.9296238190665274,0.9999366888255776,0.0,5
Gurobi-MAXSAT,0.4878048499987926,151.8,404.621875,OPTIMAL,1125,15795,15794,0.9999366888255776,False,1.0,4,vlsat2_1125_15795_3.cnf,15794.0,0.0,0.4866353330144193,0.0025124289164706,149.359375,8.974521770859159,401.625,9.047936843988936,0.9999366888255776,0.0,5
CP-SAT-MAXSAT,7.822611425002106,5280.44375,6751.003125,UNKNOWN,11280,4223777,2737022,0.7026106728645949,False,1.0,4,vlsat2_11280_4223777.cnf,2967670.8,536146.1376012141,7.6759297079988755,0.3045366054971851,5530.234375,1036.368110305693,6974.203125,660.4815436904078,0.6480034338934086,0.1269352377270897,5
Gurobi-MAXSAT,2.2938892999954987,3441.609375,4719.346875,FEASIBLE,11280,4223777,4223025,0.9998219602976198,False,1.0,4,vlsat2_11280_4223777.cnf,4223025.0,0.0,2.239914499979932,0.1103042573631165,3510.859375,328.376149605727,4784.21875,170.43558460889722,0.9998219602976198,0.0,5
CP-SAT-MAXSAT,1.0205124834028538,270.61875,593.35625,FEASIBLE,1134,26703,26686,0.9993633674119012,False,1.0,4,vlsat2_1134_26703_4.cnf,26686.0,0.0,1.020407250005519,0.001560473478832,269.734375,2.785867830732912,594.359375,5.706724035622364,0.9993633674119012,0.0,5
Gurobi-MAXSAT,1.0069777331955263,237.24375,471.090625,FEASIBLE,1134,26703,26697,0.9997753061453768,False,1.0,4,vlsat2_1134_26703_4.cnf,26697.0,0.0,1.0072604159940963,0.0007111099691085,253.21875,22.796279550139865,463.625,16.88323511444674,0.9997753061453768,0.0,5
CP-SAT-MAXSAT,1.8164633668086023,1883.9125,2625.821875,UNKNOWN,11374,1150943,852366,0.7058014167513074,False,1.0,4,vlsat2_11374_1150943.cnf,812337.2,185276.90368661712,1.8154289170051925,0.0160009220862381,1884.40625,2.303630583923451,2626.015625,2.3117238984819317,0.740580550035927,0.1609783487858365,5
Gurobi-MAXSAT,1.2577418081928045,1341.3,1862.0125,FEASIBLE,11374,1150943,1150701,0.9997897376325326,False,1.0,4,vlsat2_11374_1150943.cnf,1150701.0,0.0,1.2612194169778377,0.017904827065847,1342.15625,2.7178383888326585,1861.140625,2.4244794463838004,0.9997897376325326,0.0,5
